Color	Gene	Number
indianred3	Fam173b	101
royalblue	Fam174a	20
turquoise	Fam175a	1
red	Fam175b	6
turquoise	Fam177a	1
lightsteelblue1	Fam178a	41
greenyellow	Fam178b	11
salmon2	Fam179a	81
orangered3	Fam179b	68
white	Fam180a	27
brown	Fam181b	3
floralwhite	Fam183b	44
lightslateblue	Fam184a	99
darkred	Fam184b	21
blue	Fam185a	2
turquoise	Fam186a	1
brown	Fam187a	3
blue	Fam187b	2
lightyellow	Fam188a	19
brown	Fam188b	3
palevioletred3	Fam188b2	53
salmon	Fam189a1	13
lightcyan	Fam189a2	16
blue	Fam192a	2
purple	Fam193a	10
yellow	Fam195a	4
sienna3	Fam195b	35
orange	Fam196a	25
darkred	Fam198a	21
palevioletred3	Fam198b	53
yellowgreen	Fam199x	36
sienna3	Fam19a2	35
black	Fam19a3	7
darkolivegreen	Fam19a4	33
tan	Fam19a5	12
white	Fam204a	27
darkseagreen4	Fam206a	59
purple	Fam207a	10
coral2	Fam208a	62
brown	Fam208b	3
tan4	Fam209	109
blue	Fam20a	2
lightgreen	Fam20b	18
tan	Fam20c	12
blue	Fam21	2
violet	Fam210a	32
turquoise	Fam210b	1
green	Fam212a	5
purple	Fam212b	10
honeydew1	Fam213a	58
red	Fam213b	6
cyan	Fam214a	14
lightsteelblue1	Fam214b	41
brown4	Fam216a	46
blue	Fam216b	2
cyan	Fam217a	14
yellowgreen	Fam217b	36
cyan	Fam219aos	14
pink	Fam219b	8
black	Fam220a	7
darkseagreen4	Fam221a	59
brown	Fam221b	3
navajowhite2	Fam222a	54
brown	Fam222b	3
red	Fam227a	6
ivory	Fam227b	43
tan4	Fam228a	109
magenta4	Fam228b	84
black	Fam229b	7
turquoise	Fam25c	1
paleturquoise	Fam26d	31
sienna3	Fam26e	35
coral	Fam26f	89
lightcyan1	Fam32a	42
turquoise	Fam35a	1
darkolivegreen2	Fam3a	103
lightblue4	Fam3b	100
ivory	Fam3c	43
turquoise	Fam43a	1
pink	Fam45a	8
plum1	Fam46a	38
coral1	Fam46b	60
cyan	Fam46d	14
darkviolet	Fam47c	77
salmon	Fam49a	13
yellow	Fam49b	4
tan	Fam50a	12
brown	Fam53a	3
pink	Fam53b	8
thistle4	Fam53c	108
skyblue3	Fam57a	37
yellow	Fam57b	4
green	Fam58b	5
salmon1	Fam60a	110
palevioletred3	Fam63a	53
brown2	Fam63b	75
turquoise	Fam64a	1
greenyellow	Fam65a	11
blue	Fam65b	2
yellow3	Fam65c	94
blue	Fam69a	2
yellow	Fam69b	4
pink	Fam69c	8
saddlebrown	Fam71d	29
turquoise	Fam71e1	1
indianred3	Fam71e2	101
darkgreen	Fam71f1	22
